topic,body
trade,"Spain unveils a 105 billion peseta plan this month aimed at boosting exports to reach European Community levels, director-general of the INFE export institute, Apolonio Ruiz Ligero, said.     ""The target is to raise exports to 20 pct of Gross Domestic Product over the next four years compared to 15 pct now,"" he said.      ""This is the minimum prevailing level in the EC and there is no reason why we should lag behind countries like Italy, which have a similar productive structure,"" he said.     The plan calls for providing soft loans, tax cuts and other fiscal benefits to exporters and raising Spain's presence in international trade fairs.     Consumer goods such as fashion and wine, as well as traditional industrial exports will be promoted.     Ruiz Ligero said INFE would double its annual budget to 20 billion pesetas to finance the four-year plan, while the government's development aid fund (FAD) would provide a special 25 billion peseta grant.     The plan calls for boosting exports by five to six pct in real terms this year after a 7.4 pct decline last year.     Ruiz Ligero attributed this drop to a lack of demand in developing countries and a rally in domestic consumer demand, which rose six pct last year after 1.9 pct in 1985.     He added that 80 pct of Spain's exports went to Organisation for Economic Cooperation and Development (OECD) countries.     The EC accounts for 60 pct of the market and exports to the Community rose seven pct last year. The government plans to concentrate efforts on Western Europe and the U.S.     ""The problem is convincing businessmen that exports are vital to survival in the context of EC competition,"" he said.     He said Spanish businessmen traditionally turned to the domestic market to satisfy rises in consumer demand, while turning their backs on foreign markets.     ""They have to realise their share of the home market is going to shrink with growing deregulation,"" he said. ""Foreign companies are taking up positions in the domestic economy and it is it vital to secure a market share abroad.""  REUTER "
trade,"Secretary of Commerce Malcolm Baldrige expressed concern about the continuing U.S. trade deficits with South Korea and Taiwan and said that without an adjustment in exchange rates there is little likelihood of improvement.     Speaking to the President's Export Council, an industry advisory group, Baldrige said the trade deficit issue was under discussion with those countries.     ""I feel that unless we see an exchange rate adjustment we probably won't be able to see much of a change in the large surplus that Taiwan in particular has with us,"" he said.     In a wide-ranging discussion on U.S. trade matters, Baldrige also repeated U.S. concern about an attempted takeover by Japan's Fujitsu company of Fairchild Computer.     He said that the Japanese were resisting allowing U.S. companies into the giant computer business while at the same time attempting to acquire control of a U.S. company that does major computer business in the U.S. market.     Lastly, Baldrige said that the United States was hopeful that it could complete a free market agreement with Canada by the autumn, but said major issues, including acid rain, remained unresolved.  Reuter "
sugar,"The Dominican Republic sold 35,000 long tons of sugar for immediate delivery, with an option for 25,000 tons more, to Czarnikow Rionda of New York, the state sugar council announced.     It was not immediately clear when the sale was made or at what price. A council communique said ""the sale was made at the best prevailing conditions in the world sugar market.""  Reuter "
gas,"The EC Executive Commission has backed a plan to allow member countries to ban regular leaded gasoline in a move designed to encourage use of unleaded fuel.     It said in a statement it backed a proposal to allow EC states to ban sales of regular grade gasoline containing lead at six months notice. The proposal, which needs approval by EC ministers, would not force any member state to impose the ban. ""It's an option, not an obligation,"" a spokesman said.     But the Commission said imposing the ban would encourage the use of unleaded fuel, as well as making it easier for gas stations by cutting the number of types of gasoline they had to stock.  Reuter "
sugar,"The European Commission confirmed it authorised the export of 60,500 tonnes of current series white sugar at a maximum rebate of 43.147 European Currency Units (ECUs) per 100 kilos.     Out of this, traders in the U.K. Received 43,500 tonnes, in the Netherlands 12,000, in Denmark 4,000 and in West Germany 1,000 tonnes.  REUTER "
cpi,"The cost of living in West Germany will likely be about 0.5 pct higher on average in 1987 than in 1986, when the cost of living actually fell by an average 0.2 pct in the first recurrence of ""negative inflation"" since the 1950s, the HWWA economic research institute said.     The re-emergence of inflation will result mainly from the fading of two factors which influenced the fall in the 1986 cost of living - the steep decline in both oil prices and the value of the dollar, the institute said in a report.     The institute said inflation will see a rising trend in the course of 1987, but will average only 0.5 pct for the year as a whole because year on year rates will remain negative in the first part of 1987.     Provisional inflation figures for February released last week showed the cost of living last month was 0.5 pct lower than in February 1986. In January prices had fallen 0.8 pct against the same month a year earlier.     The HWWA said its forecast assumed the dollar would remain around 1.80 marks and oil prices would range between 15 and 17 dlrs per barrel.  REUTER "
interest,"The Federal Reserve Board voted unanimously to propose a formula for calculating the risk of interest rate and currency swaps as part of its ongoing effort to come up with a new capital standard for U.S. banks that takes into account the riskiness of a bank's loans and other assets.     Fed officials said an identical proposal was being issues today by the Bank of England.     The Fed set a 60-day period for public comment on the plan.     The proposal adopted today addresses only the credit risks associated with interest rate swaps, forward foreign exchange contracts and similar financial instruments.     Previously, the Fed Jan. 8 proposed a series of guidelines for calculating the risk of other off-balance-sheet activities that banks would be required to take into account in calculating the minimum financial cushion they would need to maintain.     Both guidelines set five broad categories of risk for loans and other bank assets and assigned to each a level of risk that would establish a bank's minimum capital needs.     The additional guidelines proposed today would determine the amount of capital support required for a bank's current exposure for a given asset and the potential future exposure.     The current exposure would be measured by the mark-to-market value of the asset, which would reflect the replacement cost.     Potential future increases in the replacement cost would be calculated using credit conversion factors based on statistical analyses by the staffs of the Bank of England and U.S. banking regulators. Future exposure would rise over the life of the asset.     The Fed staff said the risk gauge attempted to balance conflicting needs for precision and simplicity.     They ignore, for example, the relative volatility of the particular currencies involved in exchange rate contracts.     Board officials said the new gauge could increase the capital required of the largest money center banks, which are the principal participants in these types of activities.     They cautioned the Fed board to take account of the potential impact of the plan on the ability of U.S. banks to compete in world financial markets.     However, the staff concluded, ""The credit risks inherent in such contracts now constitute a significant element of the risk profiles of some banking organizations.""     The Fed proposal would exempt all but the 20-25 largest participants in this market, on grounds the benefits of including the smaller banks would be outweighed by costs.     Also excluded would be interest rate and foreign exchange contracts traded on organized exchanges.     Governor Martha Seger said she was concerned that Japan was not involved in the U.K.-U.S. effort to draft new capital rules.  Reuter "
crude,"Worldwide spot crude oil movements fell to 30.07 mln long dwt in February from 37.25 mln tons in January and 41.44 mln in December, London shipbroker Howard Houlder said.     The decline mainly reflected a sharp drop in movements out of the Mideast Gulf, which totalled 7.4 mln tons last month against 11.65 mln in January. These included shipments to western options at 2.05 mln tons against 3.59 mln previously.     Liftings from the Gulf to eastern options fell to 4.15 mln tons from 5.94 mln and those from the Gulf to other areas dropped to 1.2 mln tons from 2.13 mln, Howard Houlder said.     U.K./Continent coastal movements declined sharply to 2.91 mln tons from 4.77 mln but those from the U.K./Continent to the U.S. rose to 1.99 mln from 1.69 mln.  Reuter "
livestock,"The 350 mln Ecu three-year package of social and structural measures agreed early today by European Community farm ministers features a plan to compensate farmers for reducing output of certain surplus products, EC Commission sources said.     The ministers agreed that under this ""extensification"" scheme, farmers would qualify for compensation if they cut output of specific products by at least 20 pct.     The plan would initially apply to cereals, beef, veal and wine, they added.     Cereals farmers would have to achieve their output cuts by reducing acreage, while cattle farmers would reduce their number of head and vinegrowers would cut yield. In each case, farmers would have to undertake not to step up their capacity for output of other products which are in surplus in the EC.     The sources said payment levels have not yet been fixed but will be designed to compensate farmers for loss of profit on the production they forego.     The sources said the package also contains provisions for payments to farmers who embark on a program aimed at protecting or improving the environment.     It would also mean compensatory allowances in less favoured farming areas would be extended to crops. At present such allowances are available only for livestock.     The package would provide 20 mln Ecus for research into alternative farming techniques, the sources added.     At a news conference EC Farm Commissioner Frans Andriessen said the Commission is also working on proposals to enable the EC and member states to provide direct income supports for relatively poor farmers.     Andriessen did not give full details, but said member state aid would be subject to ""strict criteria to avoid distortion of competition.""     EC payments would aim to help farmers to survive a difficult period while the EC tackles the problems of surplus production.     The Commission withdrew from the package agreed last night proposals to pay ""early retirement"" pensions to farmers aged 55 or over who gave up production. Those who took their land completely out of farm production, rather than passing it on to their heirs, would have received more generous payments.     Andriessen said the Commission plans to present revised proposals along these lines in an effort to get a scheme agreed.  Reuter "
grain,"Poland's winter wheat is likely to survive recent frosts but the impact of the cold will not be known until late April, the Polish meteorology institute said.     Some varieties of winter wheat sown in Poland can survive ground temperatures as low as minus 20 degrees C, Spokesman Teresa Tomaszewska told Reuters.     Even though an earlier thin protective layer of snow mainly melted in February, air temperatures down to minus 30 C should not be harmful, she said, but added that wheat can still be damaged by cold spells in March and April, when young shoots may be exposed to night frosts.  Reuter "
coffee,"Failure of talks on re-establishing International Coffee Organization, ICO, coffee quotas last week may put political pressure on the United States, particularly the State Department, to reassess its position, but the U.S. is unlikely to back away from its basic demand quotas be set by ""objective criteria"", U.S. officials said.     Jon Rosenbaum, assistant U.S. trade representative and head of Washington's delegation to the talks, told Reuters on his return from London that the United States is willing to resume the coffee negotiations as early as April if necessary.     Rosenbaum said the United States will be ""flexible"" in discussing the method of establishing objective criteria and any transition to new quotas, but not on the basic aim of establishing an objective method of setting quotas.     At the ICO talks major consuming nations, led by the U.S., proposed that future coffee export quota shares be calculated by a formula incorporating a producer's recent exportable production and verified stocks, while large producers led by Brazil proposed maintaining the traditional ad hoc division of shares. The consumer position would have in effect reduced the market share of Brazil, by far the world's largest producer.     Rosenbaum said the administration would continue to support legislation now before Congress which would allow the U.S. customs service to monitor coffee imports, as a way to comply with any future coffee quotas.     He said the Reagan administration would be reviewing the coffee policy situation following the collapse of the London talks, but ""nobody is proposing we change our position.""     However, other U.S. government officials involved in coffee policy said they are bracing for a diplomatic and coffee market offensive from producer countries, led by Brazil and Colombia, to soften the consumer position.     ""Knowing that its next crop is fairly large, Brazil will kind of want to test the resolve of other producers and consumers,"" said one U.S. official.     The U.S. official, who asked not to be identified, said Brazil and Colombia may flood the coffee market in the next few months in an effort to drive down prices and pressure other countries, particularly the splinter group of small producers who differed with the major producers in London.     This in turn could lead to urgent appeals from Latin American countries, faced with mounting debt problems, to the U.S. State department, and to the National Security Council in the White House, for an easing of the U.S. position, U.S. officials said.     The State department, a major player in setting U.S. coffee policy, may then face conflicting pressures, particularly from politically-sensitive U.S. allies in Central America, U.S. officials said.     El Salvador and Guatemala both backed Brazil and Colombia at the London talks in resisting pressures for quotas based on objective criteria. But the Dominican Republic and Costa Rica joined the splinter group, which said it would agree to objective criteria.     There is a strong feeling among some in the State Department that the United States should continue to support the splinter group of producers who have taken the politically-risky step of opposing Brazil on the objective criteria question, U.S. officials said.     Within the consuming countries there also is expected to be some pressure to reassess positions.     In London, the U.S. was supported by the U.K., the Netherlands, West Germany, Japan, Australia and New Zealand on the issue of objective criteria, U.S. officials said.     This bloc represented enough votes among consuming nations to successfully prevent adoption of the producer proposals.     However, U.S. sources said West Germany's support was at times qualified and there is some concern that the European Community could come under pressure to be more accommodative to producers in future talks. France backed the Ivory Coast and other African producers during the talks.     A softening of the EC stance would make it more difficult, although not impossible, for the U.S. to block producer plans.     While political manuevering by small producers and consuming countries will be important, U.S. officials said the key to any future outcome will be Brazil's position.     U.S. officials blamed Brazil's intransigence for the failure of the talks and said a more flexible position from Brasilia would be the most important step toward agreement.  Reuter "
grain,"Torrential rains throughout Argentina's grain-producing areas virtually paralysed coarse grain harvesting in the week to yesterday, trade sources said.     Sunflower, maize and sorghum harvests were particularly affected, they said. But the rains proved to be a great aid to soybean crops as their harvesting will not begin until April or May.     The rains did no damage to maize, sunflower and sorghum crops though fresh rains in similar volume could reduce yields and cut the total volume of this year's harvest.     Rainfall measured between 15 and 270 mm in Buenos Aires, with the heaviest rains in the province's western sectors, between 15 and 100 mm in Cordoba, 15 and 120 mm in La Pampa, 10 and 75 mm in Santa Fe, 10 and 60 mm in Entre Rios, five and 40 mm in Misiones, and five and 50 mm in San Luis.     No rain was recorded in Corrientes, Chaco and Formosa.     Growers did not revise their estimates for total volume of the coarse grain harvest over last week's estimates.     Maize harvesting continued moving forward in central Santa Fe, though slowly. Growers had harvested seven to nine pct of total planted area, compared to five to seven pct last week.     Total maize area planted for the 1986/87 harvest was estimated at between 3.58 and 3.78 mln hectares, or two to seven pct less than the 3.85 mln hectares planted in the 1985/86 harvest.     Maize production is expected to total between 10.4 and 11 mln tonnes, or a drop of 17.5 to 19.4 pct over the 12.4 to 12.6 mln tonnes harvested last year according to private estimates, or 18.9 to 21.9 pct lower than last year's volume, according to official figures.     The sunflower harvest advanced to between seven and nine pct of total planted area.     Two to 2.2 mln hectares have been planted with sunflowers for this harvest, down 29.9 to 36.3 pct from last year's figure of 3.14 mln hectares.     Sunflower production is expected to total between 2.4 mln and 2.7 mln tonnes, which would mean a drop of between 34.1 and 41.5 pct against the record 4.1 mln tonnes harvested in the 1985/86 harvest.     Grain sorghum harvesting inched forward to between two and four pct of total planted area, which this harvest is 1.23 to 1.30 mln hectares or 10.3 to 15.2 pct less than the 1.45 mln hectares planted in the 1985/86 harvest.     Sorghum production is expected to total between 3.2 mln and 3.5 mln tonnes, or 16.7 to 22 pct less than the 4.1 to 4.2 million tonnes harvested in 1985/86.     Soybean production, by contrast, is expected to hit a record 8.0 to 8.4 mln tonnes, which would mean an increase of 11.1 to 15.1 pct over last year's record figure of 7.2 to 7.3 mln tonnes, according to private estimates. Official figures put last year's soybean harvest at 7.1 mln tonnes.     Soybean crops were reported to be in generally very good condition, helped by abundant rains and high temperatures.     Total soybean-planted area for the 1986/87 harvest is expected to be a record 3.7 to 3.8 mln hectares, up 10.8 to 13.8 pct from last year's harvest figure of 3.34 mln hectares.  Reuter "
trade,"The European Community Commission today appointed its chief spokesman, Hugo Paemen, as its top official in charge of multilateral trade negotiations, a Commission spokesman said.     Paemen, a Belgian official who had previously been chief aide to former External Affairs Commissioner Etienne Davignon, has been in his post since January 1985.     The spokesman said Paemen will continue as chief spokesman until the retirement on May 1 of Paul Luyten, who is now in charge of EC departments handling negotiations in the world trade body GATT, the OECD and other forums.  Reuter "
grain,"Sen. Rudy Boschwitz, R-Minn., said he intended to offer legislation that would allow 1987 producers of wheat, feedgrains, cotton and rice to receive at least 92 pct of their deficiency payments, regardless of how much they planted.     Boschwitz told the Senate Agriculture Committee that applying the so-called 0/92 provision to 1987 crops was supported by the Reagan administration and would save approximately 500 mln dlrs, including 266 mln dlrs in corn payments, 90 mln dlrs in wheat and 30 mln dlrs in cotton.     The Minnesota senator said he might offer the bill on the Senate floor or in a conference committee with the House of Representatives in the event a similar bill before the House Agriculture Committee is approved by that body.     Boschwitz told Reuters that neither he nor the U.S. Agriculture Department had decided whether or how deficiency payments should be guaranteed to farmers who might choose not to plant under the decoupling scheme.     If payments are not set in advance under decoupling, market prices conceivably could rise, thereby leading to diminished deficiency payments.     Senate Agriculture Committee Chairman Patrick Leahy, D-Vt., said he wanted to go to conference with the House as soon as possible on the issue, but would have to study the matter further before deciding how he would vote on it.  Reuter "
sugar,"India bought up to 10 cargoes of white sugar at a buying tender today which originally called for just two to three cargoes of March/April shipment, traders said.     London trader E D and F Man said it sold two cargoes at 233 dlrs a tonne CIF for March/April shipment with an option to sell an additional two cargoes at the same price.     Traders said at least one other international trader made a similar contract while a French house sold two cargoes at an outright price of 233 dlrs CIF without the option. This brought total Indian purchases to at least six cargoes with traders having options to sell another four.  Reuter "
gold,"Northgate Exploration Ltd said year-end 1986 ore reserves at its two Chibougamau mines in Quebec fell to 8,141,150 short tons grading 0.077 ounce gold a ton and 1.63 pct copper from year-earlier 8,462,000 tons grading 0.077 ounce gold ton and 1.67 pct copper.     The company said it launched a 700,000 dlr exploration program at the mines to increase production and ensure the operations' continued long life.     Ore production totaled 650,653 tons last year, it said, estimating year-end reserves contained about 627,000 ounces of gold and 265 mln pounds of copper.  Reuter "
bop,"Turkey expects a 1986 balance of payments deficit of 1.5 billion dlrs, well over target, but is taking steps to improve its performance in this and other fields, Ali Tigrel, director of economic planning at the State Planning Organisation said.     He told Reuters the shortfall was a direct consequence of economic growth of nearly eight pct, up from 5.1 pct in 1985, which he said resulted mostly from a surge in domestic demand.     Tigrel acknowledged a need to cut inflation further after a drop of more than 12 points to 24.6 pct in the Treasury wholesale index last year.     This year's target of 20 pct ""might be attainable but the economic management will have to be careful,"" he said.     Tigrel, whose department produces the annual programme which is central to the government's economic planning, said Turkey's creditworthiness was at risk over the current account shortfall, originally targeted at 695 mln dlrs.     ""We must alleviate the current account substantially to sustain the creditworthiness that we have managed to secure over the last five years,"" he added.     His comment echoed last October's Organisation for Economic Cooperation and Development report on Turkey, which said Ankara's case for more medium-term financing on better terms would look better if inflation were lower and the current account deficit cut or turned into a surplus.     ""In 1987 we must reduce the rate of growth in public sector investments, we must reduce the public sector deficit as a percentage of GNP and we must achieve a very visible improvement in the current account deficit,"" he said.     Tigrel said a surge in public sector spending last year was also to blame for the high deficits.     Appropriations to government departments had been cut by eight pct since the budget was passed in December and foreign borrowing by municipalities had been restrained.     ""We are trying make sure that public bodies stick to the investment programme and do not exceed their appropriations,"" he said. It was hoped to bring the public sector borrowing requirement down to five pct of GNP in 1987 from an estimated 5.6 pct in 1986.     More modest GNP growth of five pct for 1987 was also targeted, Tigrel said. Measures were being taken to encourage exports, and production incentives were being considered.     ""We must try to make sure that more capacity is injected into the Turkish economy in the coming years. The promotion policy is geared to make sure that both foreign investment and local private capital come more into play as far as manufacturing capacity is concerned,"" Tigrel said.     He said the process of structural adjustment of the Turkish economy to free market policies, begun in 1980, was still under way. Trade had been liberalised and a freer exchange rate policy applied, but he acknowledged there was more to be done in a country where the state still dominates industry and the currency is only partially convertible.  REUTER "
crude,"Drilling for oil in California is likely to continue at last year's sharply reduced levels despite recent gains in crude oil prices, industry analysts said.     Because much of the crude oil in California fields is thick, heavy and expensive to extract, oil prices would have to increase to near 1985's levels before any significant recovery is seen in drilling, they said.     ""Companies will probably only drill their best prospects,"" said John Curti, an analyst with Birr Wilson Securities Inc.     Few new wells now are being drilled.     Only 33 rigs, about one-quarter of the total available, were drilling for oil onshore in California last week, compared to about 70 last year, said Bill Bolster of Munger Oil Information Services, which tracks California drilling activity.     ""It's in the dregs right now,"" said Bolster of the state's drilling activity.     Current prices are not enough to justify increased drilling, said Ed Malmgreen of the California Independent Producers Association.     While an Organization of Petroleum Exporting Countries pact to curb production boosted oil prices early this year, prices eventually fell.     Prices for California's marker grade, Line 63 blend, have slumped about 20 pct in the last month to 14 dlrs from a high of about 17 dlrs.     More than half of California's oil comes from stripper wells, those producing less than 10 barrels a day, and that much of that oil costs between 18 and 25 dlrs a barrel to extract, Malmgreen said.     ""It's not unusual for a stripper well to cost 18 dlrs,"" Malmgreen said.     Many stripper wells along the southern California coast produce eight times as much water as crude oil, and inland wells frequently require the use of steam injection to spur extraction of the thick, heavy oil, he said.     The outlook for future production in California is clouded by a lack of exploratory drilling now, analysts said.     In the heart of California's oil patch, Kern County, which produces about two-thirds of the state's oil, exploratory drilling has slowed to a crawl.     Only 55 exploratory wells were drilled in Kern County in 1986, compared to 137 in 1985, according to David Mitchell of the state energy commission. So far this year only five exploratory wells have been drilled.     ""I don't think they'll even get to what they did last year,"" Mitchell said.     No pickup in exploratory drilling is likely for the rest of the decade, Mitchell said.     Along with the fall in drilling has come a decrease in the number of producing wells and overall production.     Between February and October of 1986, the number of producing oil wells in California fell 14 pct to 43,521 from more than 50,000, said Bill Guerard of the California Energy Commission.     In line with that decrease, California's crude oil output fell about 10 pct last year due to low oil prices and is expected to remain at that lower level, analysts said.     Between February and October 1986, California's crude oil production slipped from an all-time high of 1.185 mln barrels per day to 1.066 mln bpd, Guerard said.     Total estimated crude oil production in California for 1986 was 408 mln bbls, compared with 424 mln bbls in 1985 and 405 mln bbl in 1983, according to the California Department of Conservation.     ""Production in 1987 will probably hold around 1986 levels,"" Guerard said.  Reuter "
grain,"The government daily Izvestia said a considerable amount of Soviet winter crops need to be reseeded and the state 1987 grain harvest target of 232 mln tonnes will not be easy to fulfil.     Without giving figures, the newspaper said: ""A considerable part of the winter crops must be reseeded, but that creates extra effort in the fields in spring.""     The Soviet Union has previously said nine mln hectares of winter grain will have to be reseeded because of winterkill.     A U.S. Department of Agriculture analyst in Washington has said the figure of nine mln hectares would equal about 25 pct of the total winter crop and would be the second highest winterkill in 10 years.     ""The planned task of bringing in no less than 232 mln tonnes of grain is not simple,"" Izvestia said.     This week's sudden fall in temperatures has affected large parts of the country and has caused fieldwork to stop in the Ukraine, it said, adding that temperatures fell to as low as minus 30 centigrade in Byelorussia.  Reuter "
grain,"The U.S. Senate Agriculture Committee approved a measure that would exempt farmers who planted alfalfa or other multiyear grasses and legumes between 1981 and 1985 from a federal conservation requirement.     Sen. Edward Zorinsky, D-Neb., said his bill would restore equity under federal sodbuster rules, which currently deny farm program benefits to farmers who, between 1981 and 1985, planted alfalfa and other multiyear grasses and legumes without interrupting the plantings with a row crop.     An official from a leading conservation group, who asked not to be identified, said the panel's move was ""an unfortunate first action"" because it could lead to the exemption of potentially millions of acres from the sod buster regulations, established under the 1985 farm bill.  Reuter "
grain,"French soft wheat exports to other European Community countries fell 18 pct to 4.13 mln tonnes in the first seven months of the 1986/87 season to January compared with 5.04 mln in the same 1985/86 period, the French Cereals Intervention Office (ONIC) said.     According to latest ONIC statistics, the main buyers were Italy with 1.89 mln against 1.63 mln in the same 1985/86 period, West Germany 480,450 tonnes against 717,689, the Netherlands 462,048 (532,299) and Belgium 417,887 tonnes (919,337).     British and Greek imports of French soft wheat during this period were below year-ago levels. Between July 1 last year and January 31, Britain bought 274,665 tonnes against 642,800 tonnes, ONIC figures showed.     But Spanish purchases were up sharply at 258,507 tonnes against 2,751 tonnes in the same 1985/86 period and Portugal bought 37,599 tonnes compared with zero.     ONIC said the drop in French exports to other Community countries was due to British competition.  Reuter "
grain,"The size of French 1986/87 carryover barley stocks, estimated at 1.72 mln tonnes compared with 700,000 tonnes in 1985/86 is worrying, French Cereals Intervention Office (ONIC) Director Bernard Vieux said.     He told journalists these estimates were unchanged at the end of February from the previous month while export forecasts were lowered to 4.5 mln tonnes from 5.76 mln in 1985/86.     Vieux called on the EC Commission to help by awarding a larger volume of export certificates and said if no outlets are opened for French barley a large amount could be put into intervention.     A small amount of French barley has already been put into intervention, Vieux said without detailing the amount.     The outlook for French maize is better with 1986/87 exports to non-EC countries now put at 700,000 tonnes against 200,000 tonnes at the end of January and against 155,000 tonnes in 1985/86.     The higher estimate is due to the EC Commission's decision to hold special export tenders for French maize, he said.  Reuter "
trade,"South Korea's record 7.1 billion dlrs trade surplus with the U.S. is bound to diminish as the country switches purchases from Japan in favor of U.S. companies, Trade Minister Woong-Bae Rha said.      He rejected suggestions the Korean Won is undervalued, and denied any plans for a ""drastic and sudden"" revaluation.     Rha is heading a trade mission to 37 U.S. cities. Last year South Korea ran a 4.3 billion dlr trade surplus, including a record 7.1 billion surplus with the U.S. and a 5.5 billion dlr deficit with Japan.     Rha told Reuters in an interview the current trade mission is looking for 2.0 billion dlrs in purchases from U.S. companies, about a quarter of which represents ""transferred purchases from Japanese sources.""     Rha said the items being sought by the current mission are ""mainly chemicals, machinery and parts.""     He said South Korea is the fourth largest importer of U.S. agricultural products. The current mission is not involved in that area but there are plans to buy ""substantial amounts of cotton"" from the U.S.     He noted his country ""is clearly not as open as the American market. Nor is it reasonable to expect that it should be,"" considering South Korea has a 40 billion dlr foreign debt and spends six pct of its gross national product on defense.  Reuter "
gas,"Texas Eastern Corp said it has completed the purchase of an idle petroleum products terminal near Norris City, Ill., from Growmark Inc> for undisclosed terms and will reopen it in September after remodeling.     The company said the terminal will handle leaded and unleaded regular gasolines, number two fuel oil, ethanol and natural gasoline.  Reuter "
grain,"The Canadian Wheat Board has advised the federal government to sharply cut initial prices paid to farmers for their wheat, oats, and barley in the crop year beginning August 1, a board spokesman said.     The spokesman declined to give the size of the recommended price drops but said it would not be good news for western Canadian grain growers.     ""They're all lower,"" he said. ""This is really getting pretty serious. We're talking nuts and bolts economic survival and whether it's worthwhile for farmers to put in a crop.""     Farm leaders and economists have estimated the board will recommend cuts of around 20 pct in the initial prices.     Farmers receive the initial payment when the grain is delivered to the elevators used by the wheat board.     If the wheat board, which markets most of Canada's grain, obtains higher than expected prices on world markets, the farmers receive a final payment at the end of the crop year. If prices are lower, the federal treasury makes up the difference.     The final decision on the initial prices, usually made in April, rests with Wheat Board Minister Charles Mayer and the federal cabinet.     Last year Mayer cut the initial prices between 19 and 27 pct but last fall the government announced a one billion Canadian dlr aid program to compensate for the price cuts.     But federal agricultural officials have already warned farmers not to depend on additional government aid this year.  Reuter "
trade,"The ruling GATT Council deferred a decision on whether to set up a dispute panel on the basis of a European Community complaint against the U.S.- Japanese agreement on exports of computer semiconductors.     David Woods, spokesman of the General Agreement on Tariffs and Trade (GATT), told a news briefing that the main parties would continue bilateral talks. This was in the hope of resolving the row before the next Council meeting on April 15.     The five-year accord signed in July 1986 aims to protect the U.S. Market from dumping of low-price Japanese microchips, officially known as semiconductors.     The E.C. Complained the accord breached GATT trade rules by allowing Tokyo to monitor prices, allowing it to set minimum prices for Japanese chips sold in third countries.     The 12-nation Community also charged the agreement gave U.S. Producers preferential access to the Japanese market.     Woods said many nations -- Hong Kong, Canada, Switzerland, Singapore, Sweden, Malaysia and Nigeria -- had supported the EC complaint during the heated Council debate.     Japan's delegate, Minoru Endo, and U.S. Ambassador Michael Samuels replied in the debate that the E.C. Charges were unfounded, but they were willing to continue bilateral talks.  Reuter "
trade,"The ruling GATT Council set up a formal dispute panel to examine a U.S. Complaint that a Canadian law prohibiting export of unprocessed herring and salmon was discriminatory.     David Wood, official spokesman of the General Agreement on Tariffs and Trade (GATT), told a news briefing the decision was taken after bilateral consultations failed to resolve the row.     U.S. Ambassador Michael Samuels charged during the Council debate that Canada was trying to preserve domestic jobs by insisting that herring and salmon be processed at home.     Robert White, Canada's deputy chief of delegation, replied the law was in line with GATT rules, and was for conservations reasons. But he agreed to setting up the dispute panel.  Reuter "
cpi,"colombia's cost of living index rose 2.03 pct in february after a 3.27 pct increase in january and a 3.15 pct rise in february 1986, the government statistics institute said.     The rise brought year-on-year inflation to 19.77 pct compared with 23.72 pct at end-february 1986 and 21.66 pct for the year ending january 1987.     The government has predicted that inflation this year would be lower than in 1986 when it reached 20.9 pct.  Reuter "
crude,"Iranian Oil Minister Gholamreza Aqazadeh is expected here on Friday for talks with his Algerian counterpart Belkacem Nabi, the official Algerian news agency APS said today.     Aqazadeh, who will be accompanied by a large delegation, will have talks on bilateral relations in the field of energy and exchange views with Algerian officials on the current world energy situation, it said.  Reuter "
crude,"The U.K. Offshore oil industry has suffered from last year's collapse in oil prices but should not sustain any permament damage, Minister of State for Energy Alick Buchanan-Smith said.     The drilling, diving and supply vessels sectors had been most affected, Buchanan Snith told the House of Commons energy committee. He noted, however, that oil companies were still spending six mln stg a day to maintain North Sea production.     He added that a report by the manpower services committee which said 14,000 jobs were lost in the industry in 1986 should be seen in the context of a total workforce of 300,000.     Prices of North Sea Brent-grade crude dipped to a low of 8.50 dlrs a barrel last July from a peak of over 30 dlrs the previous November.     They recovered to around 18 dlrs a barrel after last December's OPEC meeting and Brent traded today around 17.15 dlrs.     Buchanan-Smith said the U.K. Has no intention of adopting OPEC style quotas, noting that Britian is an oil-consuming as well as an oil-producing nation.  Reuter "
crude,"Resource Exploration Inc said it has agreed to let Langasco Energy Corp> drill 50 oil and natural gas wells on its Clinton Sandstone formation within its Tuscarawas and Harrison County, Ohio area of operation.     Resource said it would receive a cash payment and an overriding royalty interest on oil and gas production from wells drilled on the property.     Resource said gas produced from the property will be transported through its existing pipeline. Also, Resource said it will provide service work to complete the wells and it will operate the wells after they are completed.  Reuter "
